title,tags,complexity,image,link,summary,role,goal,skills,cta_text,status,featured,venue
Aural Fields,,5,../Images/PageImages/AuralCascades/AuralFieldsMusicTalkingExample.gif,Projects/AuralFields/auralfields.html,"Masters thesis project and SIGGRAPH Asia 2025 submission — a real-time ray-traced spatial audio system that simulates sound propagation, occlusion, and material interaction for immersive and physically accurate audio experiences.","Lead developer, Masters Student, Researcher","Explore, conceptualize and implement a novel approach to spatial audio using ray tracing techniques. Perform experiments in different environments and accumulate data. Apply research-oriented procedures when compiling results and producing high-level reports and papers.",Unity 3D;Spatial Audio Computation;Ray Tracing;C#;Research;Experimentation;Analysis;Python;Documentation,View Full Write-Up →,active,yes,SIGGRAPH Asia 2025
League of Legends: Fog of War,,5,../Images/PageImages/LOLFOW/FOWStage4.gif,Experiments/LOLFOW/lolfow.html,"A recreation of League of Legend's fog-of-war system built with Compute Shaders.","Solo Developer, System Architect, Graphics Programmer",Reverse-engineer the staged visibility system behind a production MOBA and understand how texture masking interacts with gameplay state at scale.,Compute Shaders;C#;HLSL,View Full Write-Up →,active,no,
GPU Instancing: Dynamic Mesh-Based Shadows,,5,../Images/PageImages/GPUShadows/GPUShadows02.gif,Experiments/GPUShadows/gpushadows.html,A GPU-driven shadow system that renders dynamic mesh-based shadows overhead using GPU Instancing.,"Systems Engineer, Planner, Graphics Programmer","Conceptualize and implement a highly-performant, visually stunning mesh-based shadow system using GPU instancing for the World Cricket Championship Mobile Game.",GPU Instancing;HLSL;Optimization,View Full Write-Up →,active,no,
Scenari Foliage,,4,../Images/PageImages/Scenari/Scenari.gif,Experiments/Scenari/scenari.html,"Wind animation, LOD-aware colour variation, and interaction bending — all procedurally driven without artist-authored animation curves.",Solo shader developer,"Build production-quality foliage rendering on par with commercial engines, mastering the vertex shader techniques that make foliage feel alive.",Vertex Shaders;HLSL;Wind Simulation;Procedural Animation;Geometry Shaders;Fragment Shaders;Scriptable Objects;C#,View Full Write-Up →,active,no,
Profit Pits,,3,../ConnectedGamesBlog/Media/Post06/LookIntoCave01.gif,ConnectedGamesBlog/connectedGamesBlog.html,A connected multiplayer mining game built for a university module on networked games — players coordinate in real time across shared underground environments.,"Procedural Generation Developer, Shader Programmer, Gameplay Programmer, Researcher","Build a functional and procedurally generated cave system that is both highly performant, customizable and organic looking. Build a shader that allows for viewing into the caves that can adapt to coalescing views between players.",Procedural Generation;Tool Creation;Design;Shader Graph;HLSL;C#,View Dev Blog →,active,no,
WATERWAYS!,,4,../Images/PageImages/Waterways/IslandOutput.png,Experiments/Waterways/waterways.html,"Compute shader based procedural island generation with ray-traced shadows, water simulations and more.",Solo researcher & implementer,"Understand the shader maths behind creating stunning 2D visuals using ray tracing, building real-time simulations for water wakes and organic island landmass colouring.",Compute Shaders;Ray Tracing;Noise Functions;HLSL;Unity,View Full Write-Up →,active,no,
BOSSBORNE,,4,../Images/PageImages/Bossborne/BOSSBORNE Splash FullHD.png,Projects/BOSSBORNE/bossborne.html,"A soulslike boss-rush focused on hitbox precision, telegraphed attack patterns, and state-machine driven AI — studying what makes difficult combat feel fair.","Gameplay Programmer, Graphics Developer, Level Designer, Procedural Generation Designer, LLM Researcher & Boss Designer","Create an LLM-powered companion that generates quests, items and spawns enemies procedurally. Develop a world system that regenerates and repopulates the environment daily. Design AI state machines that feel reactive without being random.",LLM Integration;Shaders;Procedural Generation;FSM / State Machines;Hitbox Systems;Animation Events;Boss AI;C#,View Full Write-Up →,active,no,
AI News Agent,,2,../Images/newspaper-headlines-concept.webp,news_agent/index.html,"A web-based autonomous agent that fetches, summarises, and categorises news stories using LLM APIs — presented in a clean reader with topic filtering.",Solo developer,"Apply AI tooling outside game dev, sharpening skills in API integration, automated systems, async workflows, and web UI design.",LLM APIs;JavaScript;Async/Await;REST;Web UI;GitHub Actions;Automation,View Project →,active,no,
League of Legends — Galio the Colossus,,2,../Images/PageImages/Galio/GalioBanner.jpg,About/Galio/galio.html,A faithful recreation of Galio from League of Legends in clay.,"Artist and Clay Modeler, Planner","Learning clay modelling techniques to bring one of my favourite characters to life. Also learned to sculpt, texture, polish and paint the model.",,,active,no,
Audience System,In Development,0,../Images/UnknownBG.jpg,,A performant GPU based audience system for mobile games.,,In development — write-up coming when shipped.,,View Project →,coming-soon,no,
Cricket Batsman IK System,In Development,0,../Images/BattingIKSystem_Cover.gif,Projects/BattingIKSystem/battingiksystem.html,Inverse Kinematics system for cricket batting for visually striking bat-ball interactions.,,In development — write-up coming when shipped.,,View Project →,coming-soon,no,
